date,latitude,longitude,fire_occurred,acq_time,acq_timestamp,frp,confidence,daynight,type,source_file
2023-05-24,44.51856,11.41031,1,1137,2023-05-24 11:37:00,3.76,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.55029,11.26167,1,1137,2023-05-24 11:37:00,6.96,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,45.1439,9.94471,1,1138,2023-05-24 11:38:00,3.71,n,D,2,italy_viirs_snpp_2023.csv
2023-05-24,45.42942,9.04221,1,1138,2023-05-24 11:38:00,2.2,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,45.22838,10.91493,1,1138,2023-05-24 11:38:00,1.08,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,45.42671,9.04527,1,1138,2023-05-24 11:38:00,3.23,l,D,0,italy_viirs_snpp_2023.csv
2023-05-24,45.8506,12.80664,1,1138,2023-05-24 11:38:00,2.61,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,45.39803,11.03879,1,1138,2023-05-24 11:38:00,5.13,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.74702,8.84441,1,1318,2023-05-24 13:18:00,3.29,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.74845,8.84413,1,1318,2023-05-24 13:18:00,5.53,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,40.508,17.21224,1,2354,2023-05-24 23:54:00,0.86,n,N,3,italy_viirs_snpp_2023.csv
2023-05-24,40.50259,17.20101,1,2354,2023-05-24 23:54:00,1.74,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.50237,17.20642,1,2354,2023-05-24 23:54:00,2.23,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.44701,16.78745,1,2354,2023-05-24 23:54:00,0.99,n,N,0,italy_viirs_snpp_2023.csv
2023-05-24,40.5188,17.20875,1,2354,2023-05-24 23:54:00,0.82,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.50822,17.20686,1,2354,2023-05-24 23:54:00,0.86,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.51899,17.2033,1,2354,2023-05-24 23:54:00,0.82,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.51407,17.2073,1,2354,2023-05-24 23:54:00,0.86,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.51991,17.20788,1,2354,2023-05-24 23:54:00,0.92,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.50125,17.20722,1,2354,2023-05-24 23:54:00,1.22,n,N,2,italy_viirs_snpp_2023.csv
