latitude,longitude,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_max,month,day_of_year
38.01775,15.32037,6.9,90,0.0,11.9,1,4
40.50235,17.20323,10.5,90,0.0,9.9,1,8
36.96,12.6,15.9,72,0.0,23.7,1,8
40.505,17.21289,11.9,81,0.0,13.0,1,4
37.74,14.68,10.7,77,0.0,8.4,1,6
37.8,11.39,16.9,77,0.0,28.0,1,3
36.76,13.59,16.7,82,0.6,13.0,1,3
37.95819,16.06235,12.5,65,0.0,12.0,1,1
37.12101,15.21753,12.2,83,0.0,9.6,1,5
44.77,8.22,7.8,95,1.0,6.9,1,2
40.49163,17.19554,11.6,85,0.0,7.6,1,2
41.08726,16.0597,9.4,91,0.1,15.3,1,4
39.98,16.69,13.5,74,0.0,11.0,1,6
37.12215,15.21721,13.9,73,0.3,29.4,1,9
